English version	Label	News	Author	Date	URL
Actor Jayam Ravi has Corona	['entertainment']	நடிகர் ஜெயம் ரவிக்கு	தினத்தந்தி	22-10-2022 02:53	https://www.dailythanthi.com/Cinema/CinemaNews/1/Cinema/CinemaNews/actor-jayam-ravi-820218
Pooja Hegde regrets the film's failure	['entertainment']	படங்கள் தோல்வியால் வருந்தும் பூஜா ஹெக்டே	தினத்தந்தி	22-10-2022 02:50	https://www.dailythanthi.com/Cinema/CinemaNews/1/Cinema/CinemaNews/pooja-hegde-regrets-the-films-failure-820217
Images for Diwali	['entertainment']	தீபாவளிக்கு வரும் படங்கள்	தினத்தந்தி	17-10-2022 10:20	https://www.dailythanthi.com/Cinema/CinemaNews/6/Cinema/CinemaNews/diwali-2022-films-releasing-this-festive-season-816586
Simbu debuts in Bollywood	['entertainment']	பாலிவுட்டில் அறிமுகமாகிறார் சிம்பு	தினத்தந்தி	16-10-2022 03:49	https://www.dailythanthi.com/Cinema/CinemaNews/7/Cinema/CinemaNews/simbu-debuts-in-bollywood-815742
3rd song release from 'Prince'	['entertainment']	'பிரின்ஸ்' படத்தின் 3வது பாடல் வெளியீடு	தினத்தந்தி	14-10-2022 16:31	https://www.dailythanthi.com/Cinema/CinemaNews/8/Cinema/CinemaNews/3rd-song-release-from-prince-814548
A football god about the 'hands of God'	['misc']	‘கடவுளின் கை’களைப் பற்றிய கால்பந்துக் கடவுள்	ஆதி	01-Dec-20	https://www.hindutamil.in/news/supplements/ilamai-puthumai/607080-god-of-football.html
200 km on two jugs of water. Car trip!	['misc']	இரண்டு குடம் தண்ணீரில் 200 கி.மீ. கார் பயணம்!	அண்டன் பிரகாஷ்	16-Nov-21	https://www.hindutamil.in/news/supplements/ilamai-puthumai/737764-200-km-car-travel-by-2-can-water.html
2020 Internet World: Who did Indians search for?	['misc']	2020 இணைய உலகம்: இந்தியர்கள் யாரைத் தேடினார்கள்?	மிது கார்த்தி	15-Dec-20	https://www.hindutamil.in/news/supplements/ilamai-puthumai/611877-2020-internet-world.html
Are you a social media junkie?	['misc']	சமூக ஊடகத்தில் அதிகம் புழங்குபவரா நீங்கள்?	மிது கார்த்தி	24-Nov-20	https://www.hindutamil.in/news/supplements/ilamai-puthumai/604749-social-media.html
Viral Walk: Coatsuit in Plastic!	['misc']	வைரல் உலா: பிளாஸ்டிக்கில் கோட்சூட்!	செய்திப்பிரிவு	28-Jan-20	https://www.hindutamil.in/news/supplements/ilamai-puthumai/536953-coatsuit-in-plastic.html
